text,label
The new iPhone 15 was released today with better battery life,Technology
Google announces AI-powered search updates,Technology
Quantum computing could change data encryption,Technology
India wins the T20 World Cup after 17 years!,Sports
Messi scores a hat-trick in Champions League,Sports
The football team secures the national championship,Sports
The Prime Minister announced new reforms for education,Politics
Elections will be held next month across all states,Politics
Parliament passes the new data protection bill,Politics
A new Marvel movie breaks all box office records,Entertainment
The actor won the best performance award,Entertainment
The music concert attracted thousands of fans,Entertainment
